-90	83
-89	83
-88	83
-87	83
-86	83
-85	83
-84	83
-83	83
-82	83
-81	83
-80	83
-79	83
-78	83
-77	83
-76	83
-75	83
-74	83
-73	83
-72	83
-71	84
-70	84
-69	84
-68	84
-67	84
-66	84
-65	84
-64	84
-63	84
-62	84
-61	84
-60	84
-59	85
-58	85
-57	85
-56	85
-55	85
-54	85
-53	85
-52	85
-51	85
-50	85
-49	86
-48	86
-47	86
-46	86
-45	86
-44	86
-43	86
-42	86
-41	86
-40	86
-39	86
-38	87
-37	87
-36	87
-35	87
-34	87
-33	87
-32	87
-31	87
-30	87
-29	87
-28	87
-27	88
-26	88
-25	88
-24	88
-23	88
-22	88
-21	88
-20	88
-19	88
-18	88
-17	89
-16	89
-15	89
-14	89
-13	89
-12	89
-11	89
-10	89
-9	89
-8	89
-7	-90
-6	-90
-5	-90
-4	-90
-3	-90
-2	-90
-1	-90
0	-90
1	-90
2	-90
3	-89
4	-89
5	-89
6	-89
7	-89
8	-89
9	-89
10	-89
11	-88
12	-88
13	-88
14	-88
15	-88
16	-88
17	-88
18	-88
19	-88
20	-87
21	-87
22	-87
23	-87
24	-87
25	-87
26	-87
27	-87
28	-87
29	-87
30	-87
31	-87
32	-86
33	-86
34	-86
35	-86
36	-86
37	-86
38	-86
39	-86
40	-86
41	-86
42	-86
43	-85
44	-85
45	-85
46	-85
47	-85
48	-85
49	-85
50	-85
51	-85
52	-85
53	-85
54	-84
55	-84
56	-84
57	-84
58	-84
59	-84
60	-84
61	-84
62	-84
63	-84
64	-84
65	-84
66	-83
67	-83
68	-83
69	-83
70	-83
71	-83
72	-83
73	-83
74	-83
75	-83
76	-83
77	-82
78	-82
79	-82
80	-82
81	-82
82	-82
83	-82
84	-82
85	-82
86	-82
87	-82
88	-82
89	-82
90	-82
